panel,location,lon,lat,value
a_mda8_o3_peak,grid_21.80_112.00,112.0,21.8,79.719
a_mda8_o3_peak,grid_21.80_112.20,112.2,21.8,83.865
a_mda8_o3_peak,grid_21.80_112.40,112.4,21.8,83.865
a_mda8_o3_peak,grid_21.80_112.60,112.6,21.8,95.536
a_mda8_o3_peak,grid_21.80_112.80,112.8,21.8,95.536
a_mda8_o3_peak,grid_21.80_113.00,113.0,21.8,102.742
a_mda8_o3_peak,grid_21.80_113.20,113.2,21.8,102.742
a_mda8_o3_peak,grid_21.80_113.40,113.4,21.8,89.222
a_mda8_o3_peak,grid_21.80_113.60,113.6,21.8,89.222
a_mda8_o3_peak,grid_21.80_113.80,113.8,21.8,89.222
a_mda8_o3_peak,grid_21.80_114.00,114.0,21.8,85.842
a_mda8_o3_peak,grid_21.80_114.20,114.2,21.8,94.452
a_mda8_o3_peak,grid_21.80_114.40,114.4,21.8,94.452
a_mda8_o3_peak,grid_21.80_114.60,114.6,21.8,80.421
a_mda8_o3_peak,grid_21.80_114.80,114.8,21.8,80.421
a_mda8_o3_peak,grid_21.80_115.00,115.0,21.8,52.742
a_mda8_o3_peak,grid_21.80_115.20,115.2,21.8,52.742
a_mda8_o3_peak,grid_21.80_115.40,115.4,21.8,43.814
a_mda8_o3_peak,grid_21.80_115.60,115.6,21.8,43.814
a_mda8_o3_peak,grid_22.00_112.00,112.0,22.0,79.719
a_mda8_o3_peak,grid_22.00_112.20,112.2,22.0,83.865
a_mda8_o3_peak,grid_22.00_112.40,112.4,22.0,83.865
a_mda8_o3_peak,grid_22.00_112.60,112.6,22.0,95.536
a_mda8_o3_peak,grid_22.00_112.80,112.8,22.0,95.536
a_mda8_o3_peak,grid_22.00_113.00,113.0,22.0,102.742
a_mda8_o3_peak,grid_22.00_113.20,113.2,22.0,102.742
a_mda8_o3_peak,grid_22.00_113.40,113.4,22.0,89.222
a_mda8_o3_peak,grid_22.00_113.60,113.6,22.0,89.222
a_mda8_o3_peak,grid_22.00_113.80,113.8,22.0,89.222
a_mda8_o3_peak,grid_22.00_114.00,114.0,22.0,85.842
a_mda8_o3_peak,grid_22.00_114.20,114.2,22.0,94.452
a_mda8_o3_peak,grid_22.00_114.40,114.4,22.0,94.452
a_mda8_o3_peak,grid_22.00_114.60,114.6,22.0,80.421
a_mda8_o3_peak,grid_22.00_114.80,114.8,22.0,80.421
a_mda8_o3_peak,grid_22.00_115.00,115.0,22.0,52.742
a_mda8_o3_peak,grid_22.00_115.20,115.2,22.0,52.742
