branch,branch_label,variable,variable_label,date,value,plot_value
noari_normalbc,"No ARI, normal BC",pm25,PM$_{2.5}$,2014-12-10,5.863808035850525,5.863808035850525
noari_normalbc,"No ARI, normal BC",pm25,PM$_{2.5}$,2014-12-11,6.469278812408447,6.469278812408447
noari_normalbc,"No ARI, normal BC",pm25,PM$_{2.5}$,2014-12-12,6.562616348266602,6.562616348266602
noari_normalbc,"No ARI, normal BC",swdown,SWDOWN,2014-12-10,77.41169258455436,77.41169258455436
noari_normalbc,"No ARI, normal BC",swdown,SWDOWN,2014-12-11,155.16765752931437,155.16765752931437
noari_normalbc,"No ARI, normal BC",swdown,SWDOWN,2014-12-12,56.68965530395508,56.68965530395508
noari_normalbc,"No ARI, normal BC",pblh,PBLH,2014-12-10,907.4814453125,907.4814453125
noari_normalbc,"No ARI, normal BC",pblh,PBLH,2014-12-11,750.3056322733561,750.3056322733561
noari_normalbc,"No ARI, normal BC",pblh,PBLH,2014-12-12,449.9368591308594,449.9368591308594
noari_normalbc,"No ARI, normal BC",t2,T2,2014-12-10,270.8210957845052,270.8210957845052
noari_normalbc,"No ARI, normal BC",t2,T2,2014-12-11,271.41443888346356,271.41443888346356
noari_normalbc,"No ARI, normal BC",t2,T2,2014-12-12,268.8028564453125,268.8028564453125
noari_normalbc,"No ARI, normal BC",bc1,BC1,2014-12-10,0.008460518787615001,8.460518787615001
noari_normalbc,"No ARI, normal BC",bc1,BC1,2014-12-11,0.006067581047924857,6.067581047924857
noari_normalbc,"No ARI, normal BC",bc1,BC1,2014-12-12,0.0051945848390460014,5.194584839046001
ari_normalbc,"ARI, normal BC",pm25,PM$_{2.5}$,2014-12-10,5.864775717258453,5.864775717258453
ari_normalbc,"ARI, normal BC",pm25,PM$_{2.5}$,2014-12-11,6.472019652525584,6.472019652525584
ari_normalbc,"ARI, normal BC",pm25,PM$_{2.5}$,2014-12-12,6.564825534820557,6.564825534820557
ari_normalbc,"ARI, normal BC",swdown,SWDOWN,2014-12-10,75.36478364467621,75.36478364467621
ari_normalbc,"ARI, normal BC",swdown,SWDOWN,2014-12-11,149.68065518140793,149.68065518140793
ari_normalbc,"ARI, normal BC",swdown,SWDOWN,2014-12-12,50.84330749511719,50.84330749511719
ari_normalbc,"ARI, normal BC",pblh,PBLH,2014-12-10,904.0841623942057,904.0841623942057
ari_normalbc,"ARI, normal BC",pblh,PBLH,2014-12-11,742.343433380127,742.343433380127
ari_normalbc,"ARI, normal BC",pblh,PBLH,2014-12-12,452.48895263671875,452.48895263671875
ari_normalbc,"ARI, normal BC",t2,T2,2014-12-10,270.78886159261066,270.78886159261066
ari_normalbc,"ARI, normal BC",t2,T2,2014-12-11,271.2899538675944,271.2899538675944
ari_normalbc,"ARI, normal BC",t2,T2,2014-12-12,268.678466796875,268.678466796875
ari_normalbc,"ARI, normal BC",bc1,BC1,2014-12-10,0.008460320357698947,8.460320357698947
ari_normalbc,"ARI, normal BC",bc1,BC1,2014-12-11,0.006065884197596461,6.065884197596461
ari_normalbc,"ARI, normal BC",bc1,BC1,2014-12-12,0.005194373428821564,5.194373428821564
noari_highbc,"No ARI, high BC",pm25,PM$_{2.5}$,2014-12-10,5.863808035850525,5.863808035850525
noari_highbc,"No ARI, high BC",pm25,PM$_{2.5}$,2014-12-11,6.469278812408447,6.469278812408447
